relu1,"[512, 0, 512]",512
relu2,"[1270, 0, 1270]",1270
add1,"[8192, 8192, 8192]",8192
add2,"[1048576, 1048576, 1048576]",1048576
gemm1,"[8192, 256, 4096]",8388608
gemm2,"[32768, 16384, 32768]",1073741824
conv1,"[4718592, 614400, 491520]",60397977600
conv2,"[55296, 884736, 9216]",254803968
