Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
CONV2D,"[4, 96, 3, 224, 224, 11, 11]",C,1.131886234037111,702.7674677701735,1.6456783510588235,1028548.9694117648,13988.265984,0.57421875,0.033233642578125,18.375,18.982452392578125,8.5,1028548.9694117648,908703.4884621116
RELU,"[4, 279936]",M,0.000805306368,0.5,0.16358319450827205,102239.49656767004,1.119744,1.06787109375,0.0,1.06787109375,2.1357421875,0.006845104128,82.33411764705883,102239.49656767004
CONV2D,"[4, 256, 96, 54, 54, 5, 5]",C,4.890644179031305,3036.511552229092,1.6862027294117645,1053876.705882353,14332.7232,1.06787109375,0.5859375,2.84765625,4.50146484375,8.5,1053876.705882353,215488.3216409122
RELU,"[4, 173056]",M,0.000805306368,0.5,0.10112687653186275,63204.29783241422,0.692224,0.66015625,0.0,0.66015625,1.3203125,0.006845104128,50.89882352941177,63204.29783241422
CONV2D,"[4, 384, 256, 26, 26, 3, 3]",C,2.9465964511796523,1829.4878621769774,0.5629002691764705,351812.6682352941,4784.652288,0.66015625,0.84375,0.990234375,2.494140625,8.5,351812.6682352941,119396.28451478247
RELU,"[4, 55296]",M,0.000805306368,0.5,0.03231272977941176,20195.456112132353,0.221184,0.2109375,0.0,0.2109375,0.421875,0.006845104128,16.263529411764704,20195.456112132353
CONV2D,"[4, 384, 384, 12, 12, 3, 3]",C,1.391569403904,864.0,0.17986162447058823,112413.51529411765,1528.823808,0.2109375,1.265625,0.2109375,1.6875,8.5,112413.51529411765,80781.82444852941
RELU,"[4, 55296]",M,0.000805306368,0.5,0.03231272977941176,20195.456112132353,0.221184,0.2109375,0.0,0.2109375,0.421875,0.006845104128,16.263529411764704,20195.456112132353
CONV2D,"[4, 256, 384, 12, 12, 3, 3]",C,1.3097123801449413,813.1764705882352,0.11990774964705883,74942.34352941177,1019.215872,0.2109375,0.84375,0.140625,1.1953125,8.5,74942.34352941177,57220.458984375
RELU,"[4, 36864]",M,0.0008053063679999999,0.5,0.021541819852941176,13463.637408088236,0.147456,0.140625,0.0,0.140625,0.28125,0.006845104128,10.84235294117647,13463.637408088236
GEMM,"[4, 1, 4096, 6400]",M,0.012864298909278107,7.987207987207987,1.9178951487821692,1198684.467988856,209.7152,0.0244140625,25.0,0.015625,25.0400390625,0.10934654072886392,15420.235294117647,1198684.467988856
GEMM,"[4, 1, 4096, 4096]",M,0.012859785120187135,7.984405458089668,1.227883731617647,767427.3322610294,134.217728,0.015625,16.0,0.015625,16.03125,0.10930817352159065,9868.950588235293,767427.3322610294
GEMM,"[4, 1, 1000, 4096]",M,0.012821096897968703,7.960384648273825,0.3006808898028205,187925.55612676282,32.768,0.015625,3.90625,0.003814697265625,3.925689697265625,0.10897932363273398,2409.4117647058824,187925.55612676282
