Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[4, 256, 2304, 768]",C,11.874725580273545,1474.56,0.4263386654117647,266461.6658823529,3623.878656,0.75,1.6875,2.25,4.6875,8.5,266461.6658823529,22439.395679593865
GEMM,"[4, 256, 256, 768]",C,5.208212973804185,646.7368421052631,0.04737096282352941,29606.85176470588,402.653184,0.75,0.1875,0.25,1.1875,8.5,29606.85176470588,5684.646905497113
GEMM,"[4, 256, 768, 256]",C,5.208212973804185,646.7368421052631,0.04737096282352941,29606.85176470588,402.653184,0.25,0.1875,0.75,1.1875,8.5,29606.85176470588,5684.646905497113
GEMM,"[4, 256, 768, 768]",C,8.996004227479958,1117.090909090909,0.14211288847058823,88820.55529411764,1207.959552,0.75,0.5625,0.75,2.0625,8.5,88820.55529411764,9873.334099021302
ADD,"[4, 256, 768]",M,0.005368709120132353,0.6666666666666666,0.017233455881928088,10770.909926205057,0.786432,0.75,0.75,0.75,2.25,0.045634027521125,57.82588235294117,10770.909926205057
GEMM,"[4, 256, 3072, 768]",C,12.369505812784942,1536.0,0.5684515538823529,355282.2211764706,4831.838208,0.75,2.25,3.0,6.0,8.5,355282.2211764706,28722.42646988015
RELU,"[4, 786432]",M,0.00805306368019853,1.0,0.04595588235180824,28722.42646988015,3.145728,3.0,0.0,3.0,6.0,0.06845104128168751,231.30352941176469,28722.42646988015
GEMM,"[4, 256, 768, 3072]",C,12.369505812784942,1536.0,0.5684515538823529,355282.2211764706,4831.838208,3.0,2.25,0.75,6.0,8.5,355282.2211764706,28722.42646988015
ADD,"[4, 256, 768]",M,0.005368709120132353,0.6666666666666666,0.017233455881928088,10770.909926205057,0.786432,0.75,0.75,0.75,2.25,0.045634027521125,57.82588235294117,10770.909926205057
