Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[256, 256, 2304, 768]",C,70.97659095143882,2283.9264278799615,1.9822925981538464,2170610.394978462,231928.233984,48.0,1.6875,144.0,193.6875,116.99999999999999,2170610.394978462,30582.06044952994
GEMM,"[256, 256, 256, 768]",C,23.797084859732642,765.7565725413826,0.2202547331282051,241178.9327753846,25769.803776,48.0,0.1875,16.0,64.1875,117.00000000000001,241178.9327753846,10134.809965042678
GEMM,"[256, 256, 768, 256]",C,23.797084859732642,765.7565725413826,0.2202547331282051,241178.9327753846,25769.803776,16.0,0.1875,48.0,64.1875,117.00000000000001,241178.9327753846,10134.809965042678
GEMM,"[256, 256, 768, 768]",C,47.455545924165875,1527.052427184466,0.6607641993846154,723536.7983261538,77309.411328,48.0,0.5625,48.0,96.5625,117.0,723536.7983261538,15246.622586164494
ADD,"[256, 256, 768]",M,0.020717710834880766,0.6666666666666666,0.02076411960131991,22736.710963445305,50.331648,48.0,48.0,48.0,144.0,2.42397216768105,471.05260307692305,22736.710963445305
GEMM,"[256, 256, 3072, 768]",C,75.66441532800442,2434.7739938080495,2.6430567975384616,2894147.193304615,309237.645312,48.0,2.25,192.0,242.25,117.0,2894147.193304615,38249.77938121267
RELU,"[256, 786432]",M,0.031076566252321147,1.0,0.055370985603519766,60631.229235854145,201.326592,192.0,0.0,192.0,384.0,3.6359582515215747,1884.2104123076922,60631.229235854145
GEMM,"[256, 256, 768, 3072]",C,75.66441532800442,2434.7739938080495,2.6430567975384616,2894147.193304615,309237.645312,192.0,2.25,48.0,242.25,117.0,2894147.193304615,38249.77938121267
ADD,"[256, 256, 768]",M,0.020717710834880766,0.6666666666666666,0.02076411960131991,22736.710963445305,50.331648,48.0,48.0,48.0,144.0,2.42397216768105,471.05260307692305,22736.710963445305
