Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
RELU,"[2, 256]",M,0.0031076566252307694,0.5,1.408156982511997e-06,1.5419318958506367,0.000512,0.00048828125,0.0,0.00048828125,0.0009765625,0.363595825152,0.004791794871794872,1.5419318958506367
RELU,"[254, 5]",M,0.003107656625230769,0.5,3.4928893902153055e-06,3.8247138822857596,0.00127,0.0012111663818359375,0.0,0.0012111663818359375,0.002422332763671875,0.36359582515199995,0.011885897435897436,3.8247138822857596
ADD,"[2, 8, 512]",M,0.00207177108348718,0.3333333333333333,3.379576758028793e-05,37.00636550041528,0.008192,0.0078125,0.0078125,0.0078125,0.0234375,0.242397216768,0.07666871794871795,37.00636550041528
ADD,"[8, 128, 1024]",M,0.00207177108348718,0.3333333333333333,0.004325858250276855,4736.814784053156,1.048576,1.0,1.0,1.0,3.0,0.242397216768,9.813595897435897,4736.814784053156
GEMM,"[32, 8, 16, 32]",M,0.1272896153694523,20.48,1.7601962281399966e-05,19.27414869813296,0.262144,0.0078125,0.00048828125,0.00390625,0.01220703125,14.892884998225918,2.4533989743589744,19.27414869813296
GEMM,"[2, 128, 128, 128]",M,0.6364480768472616,102.4,0.00011265255860095975,123.35455166805093,8.388608,0.03125,0.015625,0.03125,0.078125,74.4644249911296,78.50876717948718,123.35455166805093
CONV2D,"[3, 256, 96, 128, 128, 5, 5]",C,20.953023106082686,3371.19341563786,0.5162220307692308,565263.1236923077,60397.9776,4.5,0.5859375,12.0,17.0859375,117.0,565263.1236923077,26977.64044980274
CONV2D,"[1, 256, 384, 12, 12, 3, 3]",C,1.621141327818496,260.8301886792453,0.002177811692307692,2384.7038030769227,254.803968,0.052734375,0.84375,0.03515625,0.931640625,117.00000000000001,2384.7038030769227,1471.0030286415076
