Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[256, 256, 2304, 768]",C,7.0976590951408065,2283.9264278799615,1.9822925981538464,2170610.394978462,231928.233984,48.0,1.6875,144.0,193.6875,116.99999999999999,2170610.394978462,305820.60449543194
GEMM,"[256, 256, 256, 768]",C,2.379708485972234,765.7565725413826,0.2202547331282051,241178.9327753846,25769.803776,48.0,0.1875,16.0,64.1875,117.00000000000001,241178.9327753846,101348.09965047066
GEMM,"[256, 256, 768, 256]",C,2.379708485972234,765.7565725413826,0.2202547331282051,241178.9327753846,25769.803776,16.0,0.1875,48.0,64.1875,117.00000000000001,241178.9327753846,101348.09965047064
GEMM,"[256, 256, 768, 768]",C,4.745554592414533,1527.052427184466,0.6607641993846154,723536.7983261538,77309.411328,48.0,0.5625,48.0,96.5625,117.0,723536.7983261538,152466.22586171096
ADD,"[256, 256, 768]",M,0.0020717710834871794,0.6666666666666666,0.20764119601328904,227367.1096345515,50.331648,48.0,48.0,48.0,144.0,0.242397216768,471.05260307692305,227367.1096345515
GEMM,"[256, 256, 3072, 768]",C,7.566441532797165,2434.7739938080495,2.6430567975384616,2894147.193304615,309237.645312,48.0,2.25,192.0,242.25,117.0,2894147.193304615,382497.79381229234
RELU,"[256, 786432]",M,0.003107656625230769,1.0,0.5537098560354374,606312.2923588039,201.326592,192.0,0.0,192.0,384.0,0.363595825152,1884.2104123076922,606312.2923588039
GEMM,"[256, 256, 768, 3072]",C,7.566441532797165,2434.7739938080495,2.6430567975384616,2894147.193304615,309237.645312,192.0,2.25,48.0,242.25,117.0,2894147.193304615,382497.79381229234
ADD,"[256, 256, 768]",M,0.0020717710834871794,0.6666666666666666,0.20764119601328904,227367.1096345515,50.331648,48.0,48.0,48.0,144.0,0.242397216768,471.05260307692305,227367.1096345515
