Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",M,0.5749038794914465,186.1818181818182,0.0019826850313768916,2171.0401093576966,134.217728,0.5,0.0625,0.125,0.6875,67.69493181011782,1248.1393814012738,2171.0401093576966
GEMM,"[1, 128, 256, 128]",M,0.31619713372029556,102.4,0.0002253051172019195,246.70910333610186,8.388608,0.015625,0.03125,0.03125,0.078125,37.2322124955648,78.00871133757961,246.70910333610186
GEMM,"[1, 1024, 512, 256]",M,0.9034203820579874,292.57142857142856,0.0025234173126614983,2763.1419573643407,268.435456,0.25,0.125,0.5,0.875,106.37774998732802,2496.2787628025476,2763.1419573643407
