Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",M,0.28745193974572325,186.1818181818182,0.003965370062753783,4342.080218715393,134.217728,0.5,0.0625,0.125,0.6875,33.84746590505891,1248.1393814012738,4342.080218715393
GEMM,"[1, 128, 256, 128]",M,0.15809856686014778,102.4,0.000450610234403839,493.4182066722037,8.388608,0.015625,0.03125,0.03125,0.078125,18.6161062477824,78.00871133757961,493.4182066722037
GEMM,"[1, 1024, 512, 256]",M,0.4517101910289937,292.57142857142856,0.0050468346253229966,5526.283914728681,268.435456,0.25,0.125,0.5,0.875,53.18887499366401,2496.2787628025476,5526.283914728681
