Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",C,2.299615517965786,186.1818181818182,0.0011398533163481952,1248.1393814012738,134.217728,0.5,0.0625,0.125,0.6875,117.75,1248.1393814012738,542.7600273394241
GEMM,"[1, 128, 256, 128]",C,1.2647885348811823,102.4,7.12408322717622e-05,78.00871133757961,8.388608,0.015625,0.03125,0.03125,0.078125,117.75,78.00871133757961,61.677275834025465
GEMM,"[1, 1024, 512, 256]",C,3.6136815282319494,292.57142857142856,0.0022797066326963903,2496.2787628025476,268.435456,0.25,0.125,0.5,0.875,117.75,2496.2787628025476,690.7854893410852
