Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 3072, 1024]",C,5.420522292347924,877.7142857142857,0.054712959184713375,59910.690307261146,6442.450944,1.0,3.0,3.0,7.0,117.75,59910.690307261146,11052.567829457363
Logit,"[1, 16, 1024, 1024, 64]",C,3.161971337202955,56.888888888888886,0.009118826530785561,9985.11505121019,1073.741824,1.0,1.0,16.0,18.0,117.75,9985.11505121019,3157.876522702104
Attend,"[1, 16, 1024, 1024, 64]",C,3.161971337202955,56.888888888888886,0.009118826530785561,9985.11505121019,1073.741824,16.0,1.0,1.0,18.0,117.75,9985.11505121019,3157.876522702104
GEMM,"[1, 1024, 1024, 1024]",C,4.215961782937274,682.6666666666666,0.018237653061571123,19970.23010242038,2147.483648,1.0,1.0,1.0,3.0,117.75,19970.23010242038,4736.814784053156
GEMM,"[1, 1024, 4096, 1024]",C,5.621282377249698,910.2222222222222,0.07295061224628449,79880.92040968152,8589.934592,1.0,4.0,4.0,9.0,117.75,79880.92040968152,14210.44435215947
GEMM,"[1, 1024, 1024, 4096]",C,5.621282377249698,910.2222222222222,0.07295061224628449,79880.92040968152,8589.934592,4.0,4.0,1.0,9.0,117.75,79880.92040968152,14210.44435215947
