Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",C,1.149807758982893,186.1818181818182,0.0022797066326963903,2496.2787628025476,134.217728,0.5,0.0625,0.125,0.6875,58.875,2496.2787628025476,2171.0401093576966
GEMM,"[1, 128, 256, 128]",M,0.6323942674405911,102.4,0.0002253051172019195,246.70910333610186,8.388608,0.015625,0.03125,0.03125,0.078125,37.2322124955648,156.01742267515922,246.70910333610186
GEMM,"[1, 1024, 512, 256]",C,1.8068407641159747,292.57142857142856,0.004559413265392781,4992.557525605095,268.435456,0.25,0.125,0.5,0.875,58.875,4992.557525605095,2763.1419573643407
