Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 1024, 128, 512]",C,1.149807758982893,186.1818181818182,0.0005699266581740976,624.0696907006369,134.217728,0.5,0.0625,0.125,0.6875,235.5,624.0696907006369,542.7600273394241
GEMM,"[1, 128, 256, 128]",M,0.6323942674405911,102.4,5.6326279300479875e-05,61.677275834025465,8.388608,0.015625,0.03125,0.03125,0.078125,148.9288499822592,39.004355668789806,61.677275834025465
GEMM,"[1, 1024, 512, 256]",C,1.8068407641159747,292.57142857142856,0.0011398533163481952,1248.1393814012738,268.435456,0.25,0.125,0.5,0.875,235.5,1248.1393814012738,690.7854893410852
