Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 128, 128, 512]",M,0.7904928343007388,113.77777777777777,0.00018024409376153562,197.3672826688815,16.777216,0.0625,0.0625,0.015625,0.140625,93.080531238912,156.01742267515922,197.3672826688815
GEMM,"[1, 128, 10240, 128]",C,1.5809856686014776,127.20496894409938,0.002849633290870488,3120.3484535031844,335.54432,0.015625,1.25,1.25,2.515625,117.75,3120.3484535031844,1973.6728266888151
GEMM,"[1, 128, 1, 10240]",C,1.561467327013805,1.9843038465264993,2.226276008492569e-05,24.377722292993628,2.62144,1.25,0.009765625,0.0001220703125,1.2598876953125,117.75,24.377722292993628,15.612060445487698
